Freelance Writer, https://www.glassdoor.co.in/Salary/Freelance-Freelance-Writer-New-York-City-Ny-United-States-Salaries-EJI_IE1130527.0,9_KO10,26_IL.27,57_IM615.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,53000, 97000,  $
Freelance Content Writer, https://www.salary.com/research/salary/recruiting/freelance-content-writer-salary/new-york-ny?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,55000, 68000,  $,  year, year,  Based on local employers
Freelance Graphic Designer, https://www.ziprecruiter.com/Salaries/Freelance-Graphic-Designer-Salary-in-Texas-City,TX?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,20, 41,  $,  hour, hour
Graphic Designer, https://www.indeed.com/cmp/South-Texas-College/salaries/Graphic-Designer?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,16000, 49000,  $,  year, year,  Based on local employers
Freelance Content Creator, https://www.ziprecruiter.com/Salaries/Freelance-Content-Creator-Salary-in-New-York-City,NY?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,80000, 1.4,  $,  year, year
Content Creator, https://www.glassdoor.com/Salaries/new-york-city-content-creator-salary-SRCH_IL.0,13_IM615_KO14,29.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,47000, 85000,  $,  year
SERVICE AGREEMENT SPECIALIST, https://www.glassdoor.com/Salaries/united-kingdom-service-agreement-specialist-salary-SRCH_IL.0,14_KO15,43.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,65000, 1.1,  $,  year
Service Contract Administrator, https://www.ziprecruiter.com/Salaries/Service-Contract-Administrator-Salary?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,46000, 1,  $,  year, year,  Based on local employers
Service Contract Administrator, https://www.salary.com/research/salary/benchmark/service-contract-administrator-salary?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,52000, 90000,  $,  year, year,  Based on local employers
Freelance Video Editor, https://www.ziprecruiter.com/Salaries/Freelance-Video-Editor-Salary-in-Seattle,WA?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,20, 55,  $,  hour, hour
Freelance Video Editor, https://www.glassdoor.com/Salaries/seattle-wa-freelance-video-editor-salary-SRCH_IL.0,10_IC1150505_KO11,33.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,51000, 83000,  $,  year
Freelance Video Editor, https://www.salary.com/research/salary/posting/freelance-video-editor-salary/seattle-wa?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,53000, 1.2,  $,  year, year,  Based on local employers
Presenter, https://www.indeed.com/cmp/Freelancer.com/salaries/Presenter?period=daily&utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,170, 200,  $,  hour, hour,  Based on local employers
Freelance Reporter, https://www.glassdoor.co.uk/Salaries/freelance-reporter-salary-SRCH_KO0,18.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,19000, 51000,  £,  year, year
Software Engineer, https://www.payscale.com/research/IN/Job=Software_Engineer/Salary/2a0a9605/Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,3.6, 22,  year, year,  Based on local employers,
Software Engineer, https://in.indeed.com/career/software-engineer/salaries/Kengeri-Satellite-Town--Karnataka?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,3.4,  year, year,  Based on local employers,,
Software developer, https://in.jooble.org/salary/software-developer/Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Jooble,4, 16,  year, year,  Based on local employers,
Test Analyst, https://www.payscale.com/research/IN/Job=Test_Analyst/Salary/4a0ce589/Bangalore-System-Testing?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,3.8, 11,  year, year,  Based on local employers,
Sr.test analyst, https://in.jooble.org/salary/sr.test-analyst/Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Jooble,4.2, 21,  year, year,  Based on local employers ,
Quality Assurance Analyst, https://in.indeed.com/career/quality-assurance-analyst/salaries/Jayanagar-7th-Block--Karnataka?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,3.1,  year, year,  Based on local employers,,
Data Analyst, https://in.indeed.com/career/data-analyst/salaries/Muneshwara-Block--Karnataka?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,2.7,  year, year,  Based on local employers,,
Data Analyst, https://www.payscale.com/research/IN/Job=Data_Analyst/Salary/97eb3643/Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,3, 13,  year, year,  Based on local employers,
Software Developer, https://www.payscale.com/research/IN/Job=Software_Developer/Salary/887af8b5/Hewlett-Packard-Enterprise-Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,3.8, 9,  year, year,  Hewlett Packard Enterprise,
Software Engineer, https://in.indeed.com/career/software-engineer/salaries/Jayanagar-2nd-Block--Karnataka?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,3.7,  year, year,  Based on local employers,,
Sr. network development engineer, https://in.jooble.org/salary/sr.-network-development-engineer/Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Jooble,1.7, 15,  year, year,  Based on local employers,
Graduate engineer trainee electrical, https://in.jooble.org/salary/graduate-engineer-trainee-electrical/Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Jooble,4.4, 4.7,  year, year,  Based on local employers,
Research Scientist, https://www.payscale.com/research/IN/Job=Research_Scientist/Salary/e6d895a6/Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,3.9, 39,  year, year,  Based on local employers,
Quality Analyst, https://www.payscale.com/research/IN/Job=Quality_Analyst/Salary/6c3d3741/Bangalore-Selenium-Automated-Test-Tool?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,3.9, 10,  year, year,  Based on local employers,
Senior test analyst test lead, https://in.jooble.org/salary/senior-test-analyst-test-lead/Bangalore?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Jooble,4.5, 13,  year, year,  Based on local employers,
Legal Operations Specialist, https://www.glassdoor.com/Salaries/gurgaon-haryana-legal-operations-specialist-salary-SRCH_IL.0,15_IC2921225_KO16,43.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,5.4, 5.8,  year, year
